relative_path,gesture,capture_mode,start_state,target_state,user_id,session_id,device_id,timestamp,wearing_state,recording_id,sample_count,clip_duration_ms,pre_roll_ms,device_sampling_rate_hz,imu_sampling_rate_hz,quality_status,quality_reasons,source_origin
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-001.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-001,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-002.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-002,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-003.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-003,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-004.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-004,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-005.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-005,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-006.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-006,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-007.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-007,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-008.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-008,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-009.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-009,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-010.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260314T214625,normal,20260314T214625__u-demo_user__s-s2__d-armband01__w-normal__seg-010,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-001.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-001,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-002.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-002,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-003.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-003,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-004.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-004,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-005.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-005,1500,3000,500,500,50,warn,channel_anomaly|clipped|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-006.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-006,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
OK_SIGN/20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-007.csv,OK_SIGN,event_onset,RELAX,OK_SIGN,demo_user,s2,armband01,20260315T115638,normal,20260315T115638__u-demo_user__s-s2__d-armband01__w-normal__seg-007,1500,3000,500,500,50,warn,channel_anomaly|low_energy|static,armband_stream_auto_slice
